ESTADO,SCORE_ADVANCE,EXPERIENCIA_SF,BGI60_12,NUMCUENTASINBB,ANTIGUEDADMAXIMAPASIVOS,MAXIMAANTIGUEDADCTASABIERTAS,NUMSUSCRIPTORSECTORFINAN,MAXIATRASOU12MSECREAL,MAXANTIGCARTERASCERRADASU12M,MINIMAANTIGUEDADCTASCERRADAS,ANTIGUEDADMAXIMACREDITO,CONTMORA30SECREALU12M,VLR_COUTA_DATACREDITO,PORCENTAJEDECUENTASALDIA,VTAR_PROMEDIOLIMITES,VREAL_SUMASALDOACTUAL,VPRO_ENDSISTEMASINBB
b'APROBADO',721.0,b'Cliente Con Experiencia',0.0,1.0,129.0,33.0,1.0,0.0,3.0,11.0,78.0,0.0,157000.0,100.0,2700000.0,79000.0,2626400.0
b'APROBADO',812.0,b'Cliente Con Experiencia',0.0,8.0,40.0,12.0,1.0,0.0,13.0,3.0,24.0,0.0,1311000.0,100.0,4000000.0,0.0,4316000.0
b'APROBADO',643.0,b'Cliente Sin Experiencia',0.0,4.0,44.0,-999.0,-999.0,0.0,-999.0,-999.0,5.0,0.0,0.0,100.0,0.0,44000.0,0.0
b'APROBADO',725.0,b'Cliente Sin Experiencia',0.0,0.0,33.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,263000.0,100.0,0.0,466000.0,-999.0
b'APROBADO',827.0,b'Cliente Con Experiencia',0.0,4.0,29.0,13.0,1.0,0.0,11.0,5.0,13.0,0.0,16000.0,100.0,1000000.0,0.0,200000.0
b'APROBADO',757.0,b'Cliente Con Experiencia',0.0,2.0,59.0,21.0,4.0,0.0,-999.0,-999.0,21.0,0.0,75000.0,100.0,950000.0,0.0,2863200.0
b'APROBADO',748.0,b'Cliente Sin Experiencia',0.0,7.0,47.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,100.0,0.0,0.0,-999.0
b'APROBADO',822.0,b'Cliente Con Experiencia',0.0,4.0,37.0,14.0,1.0,0.0,-999.0,13.0,19.0,0.0,71000.0,100.0,0.0,0.0,0.0
b'APROBADO',731.0,b'Cliente Sin Experiencia',0.0,4.0,25.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,127000.0,100.0,0.0,5277000.0,-999.0
b'APROBADO',589.0,b'Cliente Sin Experiencia',1.0,6.0,13.0,4.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,100.0,0.0,-999.0,-999.0
b'APROBADO',661.0,b'Cliente Sin Experiencia',1.0,1.0,38.0,-999.0,-999.0,0.0,-999.0,16.0,34.0,0.0,59000.0,100.0,0.0,59000.0,0.0
b'APROBADO',725.0,b'Cliente Sin Experiencia',0.0,1.0,40.0,-999.0,-999.0,0.0,-999.0,-999.0,19.0,0.0,,100.0,0.0,0.0,0.0
b'APROBADO',716.0,b'Cliente Con Experiencia',0.0,4.0,61.0,22.0,5.0,0.0,10.0,3.0,22.0,0.0,7482000.0,100.0,13500000.0,0.0,96791400.0
b'APROBADO',602.0,b'Cliente Con Experiencia',1.0,0.0,74.0,16.0,1.0,0.0,-999.0,-999.0,16.0,0.0,311000.0,100.0,900000.0,0.0,899200.0
b'APROBADO',639.0,b'Cliente Sin Experiencia',0.0,3.0,31.0,5.0,2.0,-999.0,-999.0,-999.0,5.0,-999.0,1091000.0,100.0,1700000.0,-999.0,1971200.0
b'APROBADO',789.0,b'Cliente Con Experiencia',0.0,5.0,26.0,12.0,1.0,0.0,-999.0,-999.0,12.0,0.0,412000.0,100.0,900000.0,106000.0,713600.0
b'APROBADO',716.0,b'Cliente Con Experiencia',0.0,0.0,29.0,14.0,1.0,0.0,-999.0,-999.0,14.0,0.0,64000.0,100.0,900000.0,0.0,604800.0
b'APROBADO',731.0,b'Cliente Sin Experiencia',0.0,5.0,25.0,2.0,1.0,0.0,-999.0,-999.0,2.0,0.0,70000.0,100.0,1000000.0,0.0,992000.0
b'APROBADO',803.0,b'Cliente Sin Experiencia',1.0,4.0,27.0,11.0,1.0,0.0,-999.0,-999.0,11.0,0.0,265000.0,100.0,900000.0,0.0,368000.0
b'APROBADO',745.0,b'Cliente Con Experiencia',1.0,1.0,26.0,14.0,1.0,0.0,-999.0,-999.0,12.0,0.0,0.0,100.0,0.0,0.0,0.0
b'APROBADO',575.0,b'Cliente Sin Experiencia',0.0,1.0,54.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,81000.0,100.0,0.0,219000.0,-999.0
b'APROBADO',607.0,b'Cliente Con Experiencia',0.0,10.0,30.0,12.0,2.0,0.0,-999.0,-999.0,22.0,0.0,1700000.0,100.0,0.0,9362000.0,0.0
b'APROBADO',807.0,b'Cliente Sin Experiencia',0.0,4.0,82.0,10.0,1.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,100.0,0.0,0.0,-999.0
b'APROBADO',764.0,b'Cliente Con Experiencia',0.0,2.0,51.0,12.0,2.0,0.0,-999.0,-999.0,12.0,0.0,290000.0,100.0,100000.0,618000.0,20000.0
b'APROBADO',735.0,b'Cliente Sin Experiencia',0.0,2.0,32.0,3.0,1.0,0.0,-999.0,-999.0,3.0,0.0,119000.0,100.0,900000.0,0.0,180000.0
b'APROBADO',625.0,b'Cliente Con Experiencia',0.0,11.0,89.0,18.0,2.0,0.0,-999.0,-999.0,3.0,0.0,1928000.0,100.0,0.0,1305000.0,605000.0
b'APROBADO',689.0,b'Cliente Con Experiencia',0.0,5.0,52.0,26.0,3.0,0.0,-999.0,-999.0,26.0,0.0,1223000.0,100.0,1000000.0,0.0,10215400.0
b'APROBADO',684.0,b'Cliente Con Experiencia',0.0,2.0,45.0,27.0,1.0,0.0,-999.0,-999.0,27.0,0.0,783000.0,100.0,1000000.0,1569000.0,748800.0
b'APROBADO',677.0,b'Cliente Sin Experiencia',0.0,0.0,29.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,,100.0,0.0,0.0,-999.0
b'APROBADO',680.0,b'Cliente Sin Experiencia',0.0,3.0,28.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,102000.0,100.0,0.0,308000.0,-999.0
b'APROBADO',743.0,b'Cliente Sin Experiencia',0.0,1.0,56.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,100.0,0.0,20567000.0,-999.0
b'APROBADO',689.0,b'Cliente Sin Experiencia',0.0,0.0,35.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,,100.0,0.0,0.0,-999.0
b'APROBADO',652.0,b'Cliente Con Experiencia',0.0,5.0,46.0,17.0,3.0,0.0,13.0,2.0,8.0,0.0,313000.0,100.0,500000.0,2719000.0,7363800.0
b'APROBADO',584.0,b'Cliente Con Experiencia',1.0,4.0,58.0,30.0,3.0,0.0,8.0,6.0,14.0,0.0,1105000.0,100.0,0.0,10460000.0,0.0
b'APROBADO',719.0,b'Cliente Sin Experiencia',1.0,1.0,22.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,351000.0,100.0,0.0,21331000.0,-999.0
b'APROBADO',719.0,b'Cliente Sin Experiencia',0.0,0.0,16.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,100.0,0.0,0.0,-999.0
b'APROBADO',836.0,b'Cliente Con Experiencia',0.0,1.0,32.0,15.0,1.0,0.0,-999.0,-999.0,15.0,0.0,627000.0,100.0,1000000.0,22777000.0,200000.0
b'APROBADO',735.0,b'Cliente Sin Experiencia',1.0,6.0,47.0,9.0,1.0,0.0,-999.0,-999.0,9.0,0.0,546000.0,100.0,0.0,92426000.0,4140000.0
b'APROBADO',712.0,b'Cliente Sin Experiencia',1.0,10.0,24.0,8.0,1.0,0.0,-999.0,-999.0,-999.0,0.0,960000.0,100.0,0.0,1626000.0,-999.0
b'APROBADO',629.0,b'Cliente Con Experiencia',1.0,10.0,228.0,25.0,4.0,0.0,-999.0,-999.0,25.0,0.0,2129000.0,100.0,2367000.0,83000.0,6805600.0
b'APROBADO',725.0,b'Cliente Sin Experiencia',0.0,3.0,89.0,4.0,1.0,-999.0,-999.0,-999.0,4.0,-999.0,0.0,100.0,4000000.0,-999.0,800000.0
b'APROBADO',730.0,b'Cliente Sin Experiencia',0.0,9.0,43.0,-999.0,2.0,0.0,-999.0,-999.0,11.0,0.0,5692000.0,100.0,0.0,0.0,4361000.0
b'APROBADO',634.0,b'Cliente Sin Experiencia',0.0,1.0,23.0,-999.0,1.0,-999.0,-999.0,-999.0,6.0,-999.0,95000.0,100.0,0.0,-999.0,67000.0
